@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
78,67718,135,67827,171,0.997485,0.99801,0.499598,0.99801,0.500402,0.665867,0.997748,1.000263,0.1425
79,67718,135,67826,172,0.997471,0.99801,0.499602,0.99801,0.500398,0.66587,0.99774,1.000271,0.144
80,67716,137,67825,173,0.997456,0.997981,0.499598,0.997981,0.500402,0.66586,0.997718,1.000263,0.144444
81,67716,137,67824,174,0.997441,0.997981,0.499602,0.997981,0.500398,0.665864,0.997711,1.000271,0.145
82,67716,137,67822,176,0.997412,0.997981,0.499609,0.997981,0.500391,0.66587,0.997696,1.000286,0.145882
83,67715,138,67822,176,0.997412,0.997966,0.499605,0.997966,0.500395,0.665864,0.997689,1.000278,0.146667
84,67715,138,67820,178,0.997382,0.997966,0.499613,0.997966,0.500387,0.66587,0.997674,1.000293,0.146667
85,67714,139,67820,178,0.997382,0.997951,0.499609,0.997951,0.500391,0.665864,0.997667,1.000286,0.146944
86,67714,139,67819,179,0.997368,0.997951,0.499613,0.997951,0.500387,0.665867,0.997659,1.000293,0.147143
87,67714,139,67818,180,0.997353,0.997951,0.499616,0.997951,0.500384,0.66587,0.997652,1.0003,0.14725
88,67713,140,67818,180,0.997353,0.997937,0.499613,0.997937,0.500387,0.665864,0.997644,1.000293,0.1475
89,67713,140,67817,181,0.997338,0.997937,0.499616,0.997937,0.500384,0.665867,0.997637,1.0003,0.147778
90,67713,140,67816,182,0.997323,0.997937,0.49962,0.997937,0.50038,0.66587,0.99763,1.000308,0.147961
91,67713,140,67815,183,0.997309,0.997937,0.499624,0.997937,0.500376,0.665873,0.997622,1.000315,0.148
92,67713,140,67814,184,0.997294,0.997937,0.499627,0.997937,0.500373,0.665877,0.997615,1.000322,0.148529
93,67713,140,67813,185,0.997279,0.997937,0.499631,0.997937,0.500369,0.66588,0.997608,1.00033,0.148889
94,67713,140,67812,186,0.997265,0.997937,0.499635,0.997937,0.500365,0.665883,0.9976,1.000337,0.149231
95,67713,140,67811,187,0.99725,0.997937,0.499638,0.997937,0.500362,0.665887,0.997593,1.000345,0.149723
96,67713,140,67810,188,0.997235,0.997937,0.499642,0.997937,0.500358,0.66589,0.997586,1.000352,0.15
97,67712,141,67807,191,0.997191,0.997922,0.499649,0.997922,0.500351,0.665893,0.997556,1.000367,0.151254
98,67711,142,67807,191,0.997191,0.997907,0.499646,0.997907,0.500354,0.665886,0.997549,1.000359,0.151667
99,67709,144,67807,191,0.997191,0.997878,0.499638,0.997878,0.500362,0.665873,0.997534,1.000345,0.152
100,67708,145,67807,191,0.997191,0.997863,0.499635,0.997863,0.500365,0.665867,0.997527,1.000337,0.152525
101,67708,145,67806,192,0.997176,0.997863,0.499638,0.997863,0.500362,0.66587,0.997519,1.000345,0.152554
102,67707,146,67806,192,0.997176,0.997848,0.499635,0.997848,0.500365,0.665864,0.997512,1.000337,0.152667
103,67707,146,67805,193,0.997162,0.997848,0.499638,0.997848,0.500362,0.665867,0.997505,1.000345,0.153283
