@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
1261,7398,60455,2227,65771,0.032751,0.10903,0.768623,0.10903,0.231377,0.19097,0.07085,1.538889,0.783019
1262,7370,60483,2214,65784,0.03256,0.108617,0.76899,0.108617,0.23101,0.190348,0.070548,1.539623,0.783333
1263,7347,60506,2202,65796,0.032383,0.108278,0.7694,0.108278,0.2306,0.18984,0.07029,1.540444,0.783784
1264,7303,60550,2179,65819,0.032045,0.10763,0.770196,0.10763,0.229804,0.188867,0.069797,1.542038,0.784314
1265,7268,60585,2166,65832,0.031854,0.107114,0.770405,0.107114,0.229595,0.188078,0.069444,1.542456,0.784722
1266,7206,60647,2152,65846,0.031648,0.1062,0.770036,0.1062,0.229964,0.186657,0.068884,1.541718,0.784946
1267,7178,60675,2139,65859,0.031457,0.105788,0.77042,0.105788,0.22958,0.186031,0.068582,1.542486,0.785185
1268,7080,60773,2112,65886,0.03106,0.104343,0.770235,0.104343,0.229765,0.183789,0.067662,1.542116,0.785714
1269,7038,60815,2084,65914,0.030648,0.103724,0.771541,0.103724,0.228459,0.182865,0.067147,1.544731,0.786408
1270,6989,60864,2061,65937,0.03031,0.103002,0.772265,0.103002,0.227735,0.181761,0.066617,1.546181,0.786667
1271,6917,60936,2035,65963,0.029927,0.101941,0.772676,0.101941,0.227324,0.180118,0.065896,1.547004,0.786885
1272,6846,61007,2009,65989,0.029545,0.100895,0.773123,0.100895,0.226877,0.178495,0.065182,1.547897,0.786982
1273,6722,61131,1951,66047,0.028692,0.099067,0.775049,0.099067,0.224951,0.175679,0.063842,1.551754,0.787234
1274,6696,61157,1941,66057,0.028545,0.098684,0.775269,0.098684,0.224731,0.175082,0.063577,1.552195,0.787879
1275,6671,61182,1934,66064,0.028442,0.098315,0.775247,0.098315,0.224753,0.174501,0.063341,1.552151,0.788462
1276,6628,61225,1921,66077,0.028251,0.097682,0.775295,0.097682,0.224705,0.173503,0.062929,1.552247,0.788732
1277,6580,61273,1896,66102,0.027883,0.096974,0.77631,0.096974,0.22369,0.172412,0.062392,1.554278,0.789474
1278,6525,61328,1867,66131,0.027457,0.096164,0.777526,0.096164,0.222474,0.171159,0.061774,1.556714,0.789916
1279,6479,61374,1857,66141,0.02731,0.095486,0.777231,0.095486,0.222769,0.170077,0.061361,1.556123,0.790323
1280,6411,61442,1846,66152,0.027148,0.094484,0.776432,0.094484,0.223568,0.168467,0.06078,1.554523,0.790698
1281,6354,61499,1833,66165,0.026957,0.093644,0.776108,0.093644,0.223892,0.167123,0.060265,1.553875,0.791667
1282,6320,61533,1828,66170,0.026883,0.093143,0.77565,0.093143,0.22435,0.166314,0.059977,1.552958,0.792453
1283,6302,61551,1819,66179,0.026751,0.092877,0.776013,0.092877,0.223987,0.165899,0.059779,1.553684,0.792683
1284,6243,61610,1794,66204,0.026383,0.092008,0.776782,0.092008,0.223218,0.164528,0.05916,1.555225,0.793103
1285,6195,61658,1778,66220,0.026148,0.0913,0.776997,0.0913,0.223003,0.1634,0.058689,1.555655,0.794118
1286,6105,61748,1740,66258,0.025589,0.089974,0.778203,0.089974,0.221797,0.161299,0.057747,1.558068,0.794872
1287,6096,61757,1732,66266,0.025471,0.089841,0.778743,0.089841,0.221257,0.161097,0.057622,1.55915,0.795181
1288,6072,61781,1724,66274,0.025354,0.089488,0.778861,0.089488,0.221139,0.160531,0.057386,1.559386,0.795455
1289,5992,61861,1694,66304,0.024912,0.088309,0.779599,0.088309,0.220401,0.158647,0.056577,1.560865,0.795918
1290,5960,61893,1675,66323,0.024633,0.087837,0.780616,0.087837,0.219384,0.157906,0.056201,1.562899,0.8
1291,5628,62225,1525,66473,0.022427,0.082944,0.786803,0.082944,0.213197,0.150068,0.052653,1.575287,0.802817
1292,5572,62281,1503,66495,0.022104,0.082119,0.787562,0.082119,0.212438,0.148729,0.052079,1.576807,0.803191
1293,5483,62370,1475,66523,0.021692,0.080807,0.788014,0.080807,0.211986,0.146583,0.051218,1.577712,0.803279
1294,5457,62396,1472,66526,0.021648,0.080424,0.78756,0.080424,0.21244,0.145944,0.051004,1.576802,0.803571
1295,5437,62416,1468,66530,0.021589,0.080129,0.7874,0.080129,0.2126,0.145456,0.050828,1.576484,0.803922
1296,5389,62464,1458,66540,0.021442,0.079422,0.78706,0.079422,0.21294,0.144284,0.050401,1.575802,0.804348
1297,5375,62478,1453,66545,0.021368,0.079215,0.7872,0.079215,0.2128,0.143946,0.050261,1.576082,0.805556
1298,5364,62489,1450,66548,0.021324,0.079053,0.787203,0.079053,0.212797,0.143678,0.050158,1.576088,0.806452
1299,5314,62539,1423,66575,0.020927,0.078316,0.788778,0.078316,0.211222,0.142486,0.049591,1.579242,0.807018
1300,5272,62581,1405,66593,0.020662,0.077697,0.789576,0.077697,0.210424,0.141473,0.049149,1.58084,0.807692
1301,5231,62622,1400,66598,0.020589,0.077093,0.78887,0.077093,0.21113,0.14046,0.048811,1.579427,0.808219
1302,5205,62648,1389,66609,0.020427,0.07671,0.789354,0.07671,0.210646,0.139831,0.048538,1.580395,0.808824
1303,5175,62678,1377,66621,0.020251,0.076268,0.789835,0.076268,0.210165,0.139104,0.048229,1.581358,0.809524
1304,5156,62697,1369,66629,0.020133,0.075988,0.790192,0.075988,0.209808,0.138643,0.048031,1.582072,0.810345
1305,5110,62743,1346,66652,0.019795,0.07531,0.791512,0.07531,0.208488,0.137534,0.047523,1.584715,0.810811
1306,5065,62788,1337,66661,0.019662,0.074647,0.791159,0.074647,0.208841,0.136422,0.047125,1.584009,0.8125
1307,4971,62882,1313,66685,0.019309,0.073261,0.791057,0.073261,0.208943,0.134103,0.046257,1.583804,0.813953
1308,4866,62987,1286,66712,0.018912,0.071714,0.790962,0.071714,0.209038,0.131505,0.045285,1.583615,0.814815
1309,4858,62995,1281,66717,0.018839,0.071596,0.791334,0.071596,0.208666,0.131311,0.045189,1.584359,0.816327
1310,4813,63040,1269,66729,0.018662,0.070933,0.791352,0.070933,0.208648,0.130195,0.04477,1.584394,0.816901
1311,4781,63072,1257,66741,0.018486,0.070461,0.791818,0.070461,0.208182,0.129407,0.044446,1.585329,0.818182
1312,4728,63125,1247,66751,0.018339,0.06968,0.791297,0.06968,0.208703,0.128081,0.043982,1.584285,0.819444
1313,4666,63187,1228,66770,0.018059,0.068766,0.791653,0.068766,0.208347,0.126541,0.043386,1.584997,0.82
1314,4642,63211,1222,66776,0.017971,0.068413,0.79161,0.068413,0.20839,0.125941,0.043165,1.584911,0.820513
1315,4617,63236,1212,66786,0.017824,0.068044,0.792074,0.068044,0.207926,0.125322,0.042907,1.585841,0.821053
1316,4565,63288,1204,66794,0.017706,0.067278,0.791298,0.067278,0.208702,0.124012,0.042466,1.584288,0.821429
1317,4514,63339,1181,66817,0.017368,0.066526,0.792625,0.066526,0.207375,0.12275,0.041921,1.586944,0.821918
1318,4449,63404,1167,66831,0.017162,0.065568,0.792201,0.065568,0.207799,0.121112,0.041339,1.586095,0.822222
1319,4436,63417,1165,66833,0.017133,0.065377,0.792001,0.065377,0.207999,0.120783,0.041229,1.585695,0.823529
1320,4424,63429,1161,66837,0.017074,0.0652,0.792122,0.0652,0.207878,0.120483,0.041111,1.585936,0.825
1321,4322,63531,1123,66875,0.016515,0.063697,0.793756,0.063697,0.206244,0.11793,0.040081,1.589208,0.825397
1322,4294,63559,1114,66884,0.016383,0.063284,0.794009,0.063284,0.205991,0.117225,0.039808,1.589715,0.826087
1323,4222,63631,1087,66911,0.015986,0.062223,0.795253,0.062223,0.204747,0.115415,0.03908,1.592206,0.826667
1324,4199,63654,1075,66923,0.015809,0.061884,0.79617,0.061884,0.20383,0.114841,0.038822,1.594041,0.826923
1325,4187,63666,1069,66929,0.015721,0.061707,0.796613,0.061707,0.203387,0.114541,0.038689,1.594929,0.82716
1326,4154,63699,1058,66940,0.015559,0.061221,0.797007,0.061221,0.202993,0.113707,0.038366,1.595717,0.827273
1327,4110,63743,1042,66956,0.015324,0.060572,0.797748,0.060572,0.202252,0.112595,0.037924,1.597202,0.827586
1328,3989,63864,1017,66981,0.014956,0.058789,0.796844,0.058789,0.203156,0.109499,0.036849,1.59539,0.828283
1329,3946,63907,999,66999,0.014692,0.058155,0.797978,0.058155,0.202022,0.10841,0.0364,1.597661,0.828571
1330,3836,64017,968,67030,0.014236,0.056534,0.798501,0.056534,0.201499,0.105592,0.035362,1.598709,0.82906
1331,3803,64050,953,67045,0.014015,0.056048,0.799622,0.056048,0.200378,0.104753,0.035009,1.600952,0.829268
1332,3747,64106,934,67064,0.013736,0.055222,0.80047,0.055222,0.19953,0.103317,0.034457,1.602651,0.829787
1333,3689,64164,907,67091,0.013339,0.054368,0.802654,0.054368,0.197346,0.101837,0.033831,1.607024,0.830769
1334,3668,64185,898,67100,0.013206,0.054058,0.803329,0.054058,0.196671,0.101299,0.03361,1.608375,0.831169
1335,3649,64204,882,67116,0.012971,0.053778,0.805341,0.053778,0.194659,0.100823,0.033353,1.612403,0.833333
1336,3488,64365,831,67167,0.012221,0.051405,0.807594,0.051405,0.192406,0.096658,0.031792,1.616915,0.834437
1337,3429,64424,811,67187,0.011927,0.050536,0.808726,0.050536,0.191274,0.095127,0.031211,1.619181,0.837209
1338,3382,64471,797,67201,0.011721,0.049843,0.809285,0.049843,0.190715,0.093903,0.030762,1.620298,0.837838
1339,3293,64560,768,67230,0.011294,0.048531,0.810884,0.048531,0.189116,0.091582,0.029893,1.623501,0.838235
1340,3270,64583,759,67239,0.011162,0.048192,0.811616,0.048192,0.188384,0.090982,0.029657,1.624966,0.839286
1341,3242,64611,753,67245,0.011074,0.04778,0.811514,0.04778,0.188486,0.090246,0.029407,1.624763,0.84058
1342,3163,64690,740,67258,0.010883,0.046615,0.810402,0.046615,0.189598,0.08816,0.02873,1.622536,0.840909
1343,3127,64726,734,67264,0.010794,0.046085,0.809894,0.046085,0.190106,0.087208,0.028421,1.621518,0.841727
1344,3069,64784,721,67277,0.010603,0.04523,0.809763,0.04523,0.190237,0.085675,0.027898,1.621256,0.842105
1345,2988,64865,696,67302,0.010236,0.044036,0.811075,0.044036,0.188925,0.083537,0.027118,1.623883,0.84375
1346,2941,64912,676,67322,0.009941,0.043344,0.813105,0.043344,0.186895,0.0823,0.026625,1.627947,0.846154
1347,2932,64921,666,67332,0.009794,0.043211,0.814897,0.043211,0.185103,0.08207,0.026485,1.631536,0.848485
1348,2872,64981,641,67357,0.009427,0.042327,0.817535,0.042327,0.182465,0.080487,0.025859,1.636817,0.849057
1349,2858,64995,633,67365,0.009309,0.04212,0.818677,0.04212,0.181323,0.080119,0.025697,1.639103,0.85
1350,2847,65006,624,67374,0.009177,0.041958,0.820225,0.041958,0.179775,0.079833,0.02555,1.642202,0.851064
1351,2832,65021,621,67377,0.009133,0.041737,0.820156,0.041737,0.179844,0.079432,0.025418,1.642065,0.851852
1352,2820,65033,615,67383,0.009044,0.04156,0.820961,0.04156,0.179039,0.079116,0.025285,1.643676,0.852459
1353,2792,65061,604,67394,0.008883,0.041148,0.822144,0.041148,0.177856,0.078373,0.024998,1.646044,0.852941
1354,2771,65082,588,67410,0.008647,0.040838,0.824948,0.040838,0.175052,0.077824,0.024726,1.651659,0.853333
1355,2740,65113,579,67419,0.008515,0.040381,0.82555,0.040381,0.17445,0.076997,0.024431,1.652864,0.853659
1356,2725,65128,575,67423,0.008456,0.04016,0.825758,0.04016,0.174242,0.076596,0.024291,1.65328,0.854167
1357,2683,65170,558,67440,0.008206,0.039541,0.827831,0.039541,0.172169,0.075478,0.023857,1.657431,0.857143
1358,2672,65181,558,67440,0.008206,0.039379,0.827245,0.039379,0.172755,0.07518,0.023776,1.656257,0.859649
1359,2625,65228,544,67454,0.008,0.038687,0.828337,0.038687,0.171663,0.073921,0.023327,1.658444,0.859813
1360,2587,65266,539,67459,0.007927,0.038127,0.827575,0.038127,0.172425,0.072895,0.023011,1.656919,0.86
1361,2571,65282,536,67462,0.007883,0.037891,0.827486,0.037891,0.172514,0.072463,0.022871,1.656741,0.860465
1362,2553,65300,532,67466,0.007824,0.037625,0.827553,0.037625,0.172447,0.071978,0.022709,1.656874,0.861111
