@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
875,32670,35183,18663,49335,0.274464,0.481482,0.636433,0.481482,0.363567,0.548219,0.377863,1.274225,0.575758
876,32592,35261,18575,49423,0.27317,0.480332,0.636973,0.480332,0.363027,0.547673,0.376641,1.275307,0.576577
877,32540,35313,18517,49481,0.272317,0.479566,0.637327,0.479566,0.362673,0.547305,0.375831,1.276016,0.576923
878,32459,35394,18462,49536,0.271508,0.478372,0.637438,0.478372,0.362562,0.546567,0.37483,1.276239,0.576959
879,32374,35479,18375,49623,0.270229,0.47712,0.637924,0.47712,0.362076,0.545927,0.373564,1.277211,0.577465
880,32351,35502,18359,49639,0.269993,0.476781,0.637961,0.476781,0.362039,0.545718,0.373277,1.277285,0.577519
881,32287,35566,18283,49715,0.268876,0.475837,0.638462,0.475837,0.361538,0.545283,0.372246,1.278287,0.577713
882,32287,35566,18282,49716,0.268861,0.475837,0.638474,0.475837,0.361526,0.545287,0.372239,1.278313,0.577778
883,32220,35633,18194,49804,0.267567,0.47485,0.639108,0.47485,0.360892,0.544869,0.371098,1.279582,0.57783
884,32105,35748,18099,49899,0.26617,0.473155,0.639491,0.473155,0.360509,0.54389,0.369552,1.280348,0.578125
885,32088,35765,18087,49911,0.265993,0.472905,0.639522,0.472905,0.360478,0.543735,0.369338,1.28041,0.578378
886,32077,35776,18071,49927,0.265758,0.472743,0.639647,0.472743,0.360353,0.543673,0.36914,1.28066,0.578947
887,32006,35847,18008,49990,0.264831,0.471696,0.639941,0.471696,0.360059,0.543087,0.368153,1.281249,0.579268
888,31993,35860,17992,50006,0.264596,0.471505,0.640052,0.471505,0.359948,0.543,0.36794,1.281472,0.579545
889,31967,35886,17963,50035,0.26417,0.471121,0.640236,0.471121,0.359764,0.542812,0.367535,1.281841,0.58
890,31929,35924,17920,50078,0.263537,0.470561,0.640514,0.470561,0.359486,0.54254,0.366939,1.282397,0.580067
891,31832,36021,17850,50148,0.262508,0.469132,0.640715,0.469132,0.359285,0.54166,0.365709,1.282799,0.580247
892,31807,36046,17835,50163,0.262287,0.468763,0.640728,0.468763,0.359272,0.541419,0.365415,1.282824,0.580645
893,31719,36134,17756,50242,0.261125,0.467466,0.641112,0.467466,0.358888,0.540689,0.364186,1.283593,0.581395
894,31678,36175,17724,50274,0.260655,0.466862,0.641229,0.466862,0.358771,0.540327,0.363648,1.283828,0.581633
895,31652,36201,17711,50287,0.260464,0.466479,0.641209,0.466479,0.358791,0.540063,0.363361,1.283788,0.581818
896,31634,36219,17699,50299,0.260287,0.466214,0.641234,0.466214,0.358766,0.539894,0.36314,1.283838,0.582278
897,31625,36228,17684,50314,0.260066,0.466081,0.641364,0.466081,0.358636,0.539851,0.362964,1.284098,0.582418
898,31602,36251,17666,50332,0.259802,0.465742,0.641431,0.465742,0.358569,0.539647,0.362662,1.284232,0.583333
899,31517,36336,17601,50397,0.258846,0.464489,0.641659,0.464489,0.358341,0.538886,0.361558,1.284689,0.583942
900,31505,36348,17588,50410,0.258655,0.464313,0.641741,0.464313,0.358259,0.538796,0.361374,1.284854,0.584158
901,31495,36358,17574,50424,0.258449,0.464165,0.641851,0.464165,0.358149,0.538735,0.361197,1.285074,0.584906
902,31443,36410,17504,50494,0.257419,0.463399,0.642389,0.463399,0.357611,0.538408,0.360299,1.28615,0.585366
903,31411,36442,17471,50527,0.256934,0.462927,0.642588,0.462927,0.357412,0.538159,0.359821,1.28655,0.585455
904,31385,36468,17439,50559,0.256463,0.462544,0.642819,0.462544,0.357181,0.537981,0.359394,1.287012,0.586207
905,31359,36494,17428,50570,0.256302,0.462161,0.642774,0.462161,0.357226,0.537706,0.359121,1.286921,0.586957
906,31323,36530,17416,50582,0.256125,0.46163,0.642668,0.46163,0.357332,0.53731,0.358768,1.28671,0.587242
907,30883,36970,17068,50930,0.251007,0.455146,0.644053,0.455146,0.355947,0.533367,0.352968,1.289483,0.587302
908,30812,37041,17023,50975,0.250346,0.454099,0.644131,0.454099,0.355869,0.532674,0.352114,1.289638,0.588235
909,30749,37104,16958,51040,0.24939,0.453171,0.644539,0.453171,0.355461,0.532174,0.351172,1.290454,0.589286
910,30721,37132,16931,51067,0.248993,0.452758,0.644695,0.452758,0.355305,0.531942,0.350767,1.290767,0.589316
911,30592,37261,16846,51152,0.247743,0.450857,0.644884,0.450857,0.355116,0.530692,0.349191,1.291146,0.589474
912,30588,37265,16840,51158,0.247654,0.450798,0.644935,0.450798,0.355065,0.530669,0.349118,1.291249,0.589744
913,30562,37291,16808,51190,0.247184,0.450415,0.645176,0.450415,0.354824,0.530484,0.348691,1.291731,0.590909
914,30480,37373,16742,51256,0.246213,0.449206,0.645462,0.449206,0.354538,0.529741,0.347601,1.292303,0.591398
915,30469,37384,16734,51264,0.246095,0.449044,0.645489,0.449044,0.354511,0.529638,0.347462,1.292357,0.591549
916,30430,37423,16702,51296,0.245625,0.448469,0.645634,0.448469,0.354366,0.529286,0.346939,1.292647,0.591623
917,30407,37446,16682,51316,0.245331,0.448131,0.645735,0.448131,0.354265,0.529084,0.346622,1.292849,0.591837
918,30393,37460,16676,51322,0.245243,0.447924,0.645712,0.447924,0.354288,0.528933,0.346475,1.292803,0.592593
919,30331,37522,16602,51396,0.244154,0.44701,0.646262,0.44701,0.353738,0.528479,0.345474,1.293904,0.59292
920,30299,37554,16580,51418,0.243831,0.446539,0.646324,0.446539,0.353676,0.52817,0.345077,1.294028,0.59322
921,30239,37614,16542,51456,0.243272,0.445655,0.646395,0.445655,0.353605,0.527575,0.344355,1.294171,0.59375
922,30144,37709,16456,51542,0.242007,0.444254,0.646867,0.444254,0.353133,0.526749,0.343023,1.295116,0.59434
923,30111,37742,16410,51588,0.241331,0.443768,0.647256,0.443768,0.352744,0.526536,0.342441,1.295895,0.594595
924,30066,37787,16364,51634,0.240654,0.443105,0.647555,0.443105,0.352445,0.526167,0.341771,1.296495,0.595238
925,29994,37859,16306,51692,0.239801,0.442044,0.647819,0.442044,0.352181,0.525505,0.340815,1.297022,0.595745
926,29974,37879,16287,51711,0.239522,0.441749,0.647932,0.441749,0.352068,0.525334,0.340527,1.297249,0.596059
927,29915,37938,16244,51754,0.238889,0.44088,0.648086,0.44088,0.351914,0.524769,0.339777,1.297557,0.596154
928,29903,37950,16227,51771,0.238639,0.440703,0.648233,0.440703,0.351767,0.524692,0.339563,1.297852,0.5962
929,29688,38165,16039,51959,0.235875,0.437534,0.649244,0.437534,0.350756,0.522768,0.336597,1.299876,0.596721
930,29668,38185,16021,51977,0.23561,0.437239,0.649347,0.437239,0.350653,0.522591,0.336317,1.300081,0.596774
931,29648,38205,16005,51993,0.235375,0.436945,0.649421,0.436945,0.350579,0.522404,0.336052,1.300229,0.597015
932,29629,38224,15986,52012,0.235095,0.436665,0.649545,0.436665,0.350455,0.522244,0.335772,1.300478,0.597444
933,29320,38533,15741,52257,0.231492,0.432111,0.650674,0.432111,0.349326,0.519333,0.331694,1.302738,0.597561
934,29298,38555,15714,52284,0.231095,0.431786,0.650893,0.431786,0.349107,0.519169,0.331334,1.303177,0.597701
935,29258,38595,15672,52326,0.230477,0.431197,0.651191,0.431197,0.348809,0.518837,0.33073,1.303773,0.597938
936,29238,38615,15646,52352,0.230095,0.430902,0.651413,0.430902,0.348587,0.518694,0.330391,1.304217,0.597977
937,29156,38697,15587,52411,0.229227,0.429694,0.651633,0.429694,0.348367,0.517887,0.329353,1.304658,0.6
938,28869,38984,15304,52694,0.225065,0.425464,0.653544,0.425464,0.346456,0.515398,0.325158,1.308485,0.600939
939,28700,39153,15214,52784,0.223742,0.422973,0.65355,0.422973,0.34645,0.513568,0.323251,1.308497,0.601036
940,28631,39222,15182,52816,0.223271,0.421956,0.653482,0.421956,0.346518,0.512797,0.322508,1.30836,0.601266
941,28617,39236,15155,52843,0.222874,0.42175,0.653774,0.42175,0.346226,0.512735,0.322206,1.308945,0.60177
942,28537,39316,15088,52910,0.221889,0.420571,0.654143,0.420571,0.345857,0.511975,0.321124,1.309684,0.601942
943,28503,39350,15059,52939,0.221462,0.42007,0.654309,0.42007,0.345691,0.511655,0.32066,1.310016,0.602151
944,28489,39364,15044,52954,0.221242,0.419864,0.654423,0.419864,0.345577,0.511536,0.320447,1.310245,0.602484
945,28447,39406,15007,52991,0.220698,0.419245,0.654646,0.419245,0.345354,0.511145,0.319865,1.310692,0.602634
946,28316,39537,14894,53104,0.219036,0.417314,0.655311,0.417314,0.344689,0.509909,0.318069,1.312023,0.603175
947,28302,39551,14874,53124,0.218742,0.417108,0.655503,0.417108,0.344497,0.509813,0.317819,1.312407,0.603448
948,28263,39590,14844,53154,0.218301,0.416533,0.655648,0.416533,0.344352,0.509427,0.317311,1.312696,0.60396
949,28243,39610,14812,53186,0.21783,0.416238,0.655975,0.416238,0.344025,0.509305,0.316928,1.313352,0.604167
950,28219,39634,14785,53213,0.217433,0.415884,0.656195,0.415884,0.343805,0.509106,0.316553,1.313792,0.604396
